MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338367119,2022-03-31T09:49:26,48.58545,-122.81455,0.1,157.5,511.0,LOUISA,IMO0000000,,37.0,,19.0,6.0,,,B
316011736,2022-03-31T19:57:34,49.18861,-123.9499,0.0,264.4,53.0,NANAIMO PORTSECURITY,,,50.0,0.0,,,,50.0,A
338104822,2022-03-31T20:21:09,36.84419,-76.29307,0.0,139.8,511.0,LATTITUDES CHANGE AT,,,37.0,,13.0,4.0,,,B
368101240,2022-03-31T21:46:03,47.62898,-122.39463,0.0,360.0,511.0,HIGH FIVE,IMO0000000,WDK9185,36.0,,13.0,4.0,,,B
367626030,2022-03-31T03:46:26,29.93679,-90.34426,0.6,255.4,511.0,DANE WISE,,WDH5249,31.0,8.0,19.0,,,22.0,A
368888000,2022-03-31T21:15:31,36.91893,-76.1821,0.0,319.6,94.0,BURLINGTON,IMO9757773,NBLN,35.0,5.0,103.0,28.0,3.5,35.0,A
368138150,2022-03-31T11:43:26,29.74567,-95.09655,0.0,253.6,139.0,CAPT KEITH LOFTON,,WDL5126,31.0,12.0,27.0,11.0,2.9,31.0,A
368157950,2022-03-31T03:29:34,24.57818,-81.78683,0.4,229.0,511.0,AUDREY MARIE,IMO0000000,WDL7192,36.0,,16.0,5.0,,,B
366993250,2022-03-31T07:41:08,47.21491,-122.66615,0.0,336.4,511.0,REDWOOD CITY,,WUS6454,31.0,0.0,18.0,5.0,,52.0,A
368194470,2022-03-31T19:32:08,26.1016,-80.11789,0.0,360.0,511.0,RAIS N CAIN,IMO0000000,WDM3134,37.0,,31.0,14.0,,,B
367567690,2022-03-31T20:33:57,29.78382,-95.09939,0.0,264.2,511.0,MISS SLOAN,,WDG7478,90.0,15.0,7.0,,,90.0,A
338230729,2022-03-31T02:27:43,43.45576,-68.70262,4.3,237.0,511.0,REVERENCE,,,30.0,,14.0,,,,B
338102902,2022-03-31T14:19:05,47.64465,-122.30996,0.0,0.0,511.0,NIGHT WIND,,,37.0,,15.0,4.0,,,B
368142710,2022-03-31T02:39:51,30.03815,-90.47627,1.9,226.9,511.0,IRON LADY,,WDL5614,31.0,12.0,0.0,0.0,9.6,31.0,A
255806068,2022-03-31T01:49:05,27.53769,-92.53262,15.2,358.2,352.0,AS FIORELLA,IMO9395111,CQIU2,70.0,0.0,166.0,25.0,9.5,79.0,A
367108030,2022-03-31T04:55:59,32.08206,-81.06413,0.0,2.5,265.0,EDWARD J MORAN,IMO9365336,WDC9891,31.0,0.0,29.0,11.0,4.0,52.0,A
367733350,2022-03-31T19:55:24,41.47449,-70.85136,9.1,350.8,511.0,EAGLE,IMO8793897,WDI7902,30.0,,26.0,,,,B
367517760,2022-03-31T19:36:27,35.11688,-90.08511,0.0,139.5,511.0,MARY WEPFER,,WDG2646,31.0,15.0,17.0,7.0,,31.0,A
367750940,2022-03-31T16:32:32,25.7989,-80.24907,0.0,360.0,511.0,ATLAS,IMO0682459,WDI9664,31.0,3.0,17.0,6.0,2.8,31.0,A
329018360,2022-03-31T16:00:22,32.68998,-117.16055,0.0,134.4,511.0,LET IT BE,IMO0000000,FAE9753,36.0,,0.0,0.0,,,B
367452650,2022-03-31T03:47:55,29.20182,-89.27566,24.7,142.7,147.0,PORTPILOT,,WDF4502,90.0,0.0,15.0,4.0,,50.0,A
367398920,2022-03-31T10:31:25,29.02069,-89.33953,0.1,147.3,511.0,LOUIE C,,WDE7885,31.0,15.0,20.0,7.0,,90.0,A
367126620,2022-03-31T15:25:35,18.44854,-66.0893,0.0,254.2,511.0,CAPE HENRY,IMO6807022,WBK3240,31.0,0.0,31.0,8.0,4.7,52.0,A
477701000,2022-03-31T02:59:46,49.30444,-123.06717,0.0,192.4,86.0,ROSCO SANDALWOOD,IMO9288514,VRZQ6,70.0,5.0,225.0,32.0,14.2,70.0,A
366584000,2022-03-31T16:25:03,28.41365,-80.6212,0.0,57.1,125.0,GO SEARCHER,IMO9591648,WDH3015,90.0,0.0,51.0,10.0,3.0,70.0,A
367744210,2022-03-31T10:51:13,40.43625,-80.00732,0.0,360.0,511.0,EMPRESS II,,WDI8992,31.0,15.0,14.0,,,99.0,A
366516370,2022-03-31T22:29:12,40.55611,-74.24153,5.2,56.2,58.0,STEPHEN REINAUER,IMO7046170,WCA3763,31.0,0.0,33.0,9.0,4.2,52.0,A
316003527,2022-03-31T19:12:16,49.12372,-123.18903,0.0,303.7,511.0,BELINA,IMO5039678,CY3195,30.0,0.0,23.0,7.0,2.9,30.0,A
368027650,2022-03-31T18:11:00,30.38967,-88.26723,0.0,360.0,511.0,PRINCESS CINDY,IMO0000000,WDJ9608,30.0,,29.0,8.0,,,B
367001890,2022-03-31T01:59:41,28.41458,-80.61141,0.0,210.1,511.0,MISS JUANITA,,WDC3039,31.0,0.0,16.0,6.0,,52.0,A
367784910,2022-03-31T04:05:44,43.63842,-79.37969,0.1,153.7,511.0,ODYSSEY,,WDJ5158,60.0,5.0,45.0,10.0,,69.0,A
368077830,2022-03-31T22:23:59,29.90861,-90.10202,8.8,73.2,68.0,INDEPENDENCE,,WDK6764,0.0,15.0,0.0,0.0,0.0,0.0,A
366990450,2022-03-31T17:18:59,47.26698,-122.82734,0.0,360.0,511.0,CHARLIE WELLS,,WAH4742,60.0,0.0,19.0,10.0,,99.0,A
229622000,2022-03-31T23:24:17,38.42744,-123.52787,1.8,318.2,321.0,MSC TRIESTE,IMO9484479,9HA3459,70.0,0.0,365.0,48.0,16.0,71.0,A
367650610,2022-03-31T23:34:16,48.51486,-122.60527,0.0,266.4,511.0,AVENTURA,,WDH7686,37.0,,11.0,,,,B
538006385,2022-03-31T03:02:20,48.51485,-124.99903,10.7,272.4,272.0,MEDUSA,IMO9461130,V7MM5,70.0,0.0,228.0,32.0,14.4,70.0,A
367736640,2022-03-31T15:32:19,29.99601,-93.91932,0.0,12.6,357.0,URSULA CENAC,,WDI8245,31.0,5.0,,,,52.0,A
368171390,2022-03-31T21:45:42,33.72572,-118.21858,0.2,86.5,55.0,BROOKS M HAMILTON,,WDL8631,52.0,12.0,26.0,10.0,2.6,52.0,A
338162517,2022-03-31T00:19:04,48.00261,-122.22175,0.0,360.0,511.0,OCEAN'S 11,,,37.0,,18.0,,,,B
565402000,2022-03-31T10:14:45,36.51088,-124.41336,2.5,173.7,71.0,KOTA LATIF,IMO9340764,9VBR6,70.0,0.0,260.0,32.0,13.0,70.0,A
367481670,2022-03-31T16:33:26,38.58648,-90.20247,0.0,360.0,511.0,ALLISON RACHEL,IMO8976554,WDF7157,31.0,0.0,21.0,9.0,,31.0,A
367473590,2022-03-31T21:01:17,29.90647,-90.12144,0.0,210.7,290.0,BILL MILLER,,WDF6375,31.0,0.0,24.0,9.0,,31.0,A
368156470,2022-03-31T10:01:16,32.85511,-79.95386,0.0,9.6,227.0,BRIDGEPORT,,WDL7032,31.0,15.0,25.0,8.0,2.5,31.0,A
367339560,2022-03-31T04:13:51,43.65732,-70.24934,0.0,322.8,511.0,CITY OF PORTLAND,,WDE9667,90.0,15.0,19.0,,,58.0,A
367793880,2022-03-31T15:51:19,41.36171,-88.3952,0.0,88.9,23.0,SPARKY,,WDJ6052,31.0,0.0,18.0,,,31.0,A
367645170,2022-03-31T23:32:44,45.56564,-122.73665,0.0,246.9,226.0,CROWN POINT,,WDH7139,31.0,0.0,31.0,,,52.0,A
367778680,2022-03-31T07:39:40,47.58696,-122.6644,0.1,180.5,511.0,LIBERTY,,WDJ4541,37.0,,12.0,,,,B
367739850,2022-03-31T15:02:26,34.80579,-76.6835,0.0,360.0,511.0,CAPITOL PRINCESS,,WDI8561,60.0,7.0,18.0,6.0,,30.0,A
367499090,2022-03-31T06:02:26,29.37494,-94.86755,0.0,106.3,284.0,LCPL PHILLIP C GEORG,,WDF8835,31.0,12.0,24.0,10.0,,57.0,A
367664890,2022-03-31T12:15:46,36.20716,-89.67063,0.0,293.1,511.0,LANA D,,WDH9128,31.0,11.0,18.0,,,31.0,A
367375070,2022-03-31T17:15:30,37.04725,-88.54098,0.0,258.9,511.0,L R CHAPMAN,,WDE6042,31.0,0.0,31.0,7.0,,31.0,A
367529420,2022-03-31T14:54:06,47.13527,-122.64567,0.1,327.6,511.0,ISLAND VENTURE,IMO7730525,WDG3765,31.0,0.0,31.0,10.0,3.7,0.0,A
366983260,2022-03-31T18:35:51,40.86551,-70.16868,10.5,314.8,511.0,LADY BRITTANY,IMO8983533,WDB9812,30.0,,35.0,9.0,,,B
366960410,2022-03-31T22:49:48,36.85864,-76.34893,0.0,360.0,511.0,MISS KHYLAN,,WDG9329,31.0,15.0,13.0,5.0,,52.0,A
368036590,2022-03-31T21:14:13,25.31361,-80.28023,0.0,352.6,511.0,QUAY II,IMO0000000,,37.0,,25.0,7.0,,,B
