MMSI,mean_speed,std_speed,min_speed,max_speed,n_fixes
367181760,0.0,0.0,0.0,0.0,58
367181880,7.7448277,10.041174,0.0,24.4,232
367182120,2.7879486,3.736258,0.0,9.8,1170
367182290,0.0009708738,0.009817266,0.0,0.1,412
367182320,0.0014669928,0.013925555,0.0,0.2,409
367182730,0.9443478,2.2958355,0.0,9.3,1150
367182840,5.913295,5.879352,0.0,14.7,346
367182860,3.672826,6.012232,0.0,16.7,276
367183000,0.0,0.0,0.0,0.0,232
367183020,1.2769494,2.9742303,0.0,12.5,1167
367183240,0.0029325513,0.016896524,0.0,0.1,341
367183360,0.2184466,0.96207434,0.0,9.3,1133
367183730,0.06963855,0.060541954,0.0,0.3,415
367183910,0.00048780488,0.0069843032,0.0,0.1,205
367183990,0.125,0.05,0.1,0.2,4
367184660,0.84934264,2.1572018,0.0,8.3,1141
367184740,0.03271028,0.047466397,0.0,0.2,428
367185000,0.0,0.0,0.0,0.0,400
367185050,0.0072972975,0.029281937,0.0,0.5,1110
367185090,0.003690037,0.018886598,0.0,0.1,271
367185180,3.556383,1.6148415,0.4,6.8,188
367185530,1.0791667,1.7707722,0.0,6.2,24
367185680,0.070886075,0.07829383,0.0,0.4,395
367185880,1.1524334,2.8569472,0.0,11.2,1089
367186070,0.121209465,1.1927437,0.0,15.1,1141
367186210,0.0011039559,0.01282677,0.0,0.2,1087
367186340,3.9055603,3.889791,0.0,9.1,1151
367186360,2.599374,2.40613,0.0,6.3,1118
367186370,1.4050622,2.7215195,0.0,9.7,1126
367186380,0.002610261,0.016506353,0.0,0.2,1111
367186410,1.4357759,2.0836322,0.0,7.1,1160
367186630,2.7379024,5.698465,0.0,22.4,839
367186690,0.034426227,0.26887745,0.0,2.1,61
367186840,3.7989557,3.0521297,0.0,7.9,383
367187080,0.0009950249,0.00993771,0.0,0.1,402
367187120,3.4225323,6.1044197,0.0,18.9,466
367187130,1.7193772,3.5646636,0.0,17.6,1156
367187140,1.1871818,2.1685965,0.0,6.8,1100
367187790,1.7847345,3.5865803,0.0,12.6,452
367188380,0.08337778,0.15945628,0.0,0.6,1125
367188450,0.0032345015,0.017715363,0.0,0.1,371
367188610,0.0019247595,0.013745419,0.0,0.1,1143
367188670,5.580247,6.773873,0.0,16.2,81
367188740,0.010526316,0.03085203,0.0,0.1,95
367188940,0.57163864,1.9230497,0.0,8.4,476
367189020,1.8660688,3.4078634,0.0,10.9,669
367189030,0.012673612,0.045040432,0.0,0.7,1152
367189510,3.4410481,4.1281304,0.0,11.1,1145
367189570,1.1903603,2.8798444,0.0,16.5,1027
367189580,0.20339367,0.60793114,0.0,4.6,442
367189610,6.790141,0.7016,2.6,9.8,142
367189840,0.0005586592,0.007474351,0.0,0.1,179
367189890,0.0125,0.0341565,0.0,0.1,16
367189940,0.6082413,1.70368,0.0,8.1,1177
367190220,0.00024271845,0.0049266466,0.0,0.1,412
367190250,0.0030075188,0.018511912,0.0,0.2,399
367190280,7.458696,2.6571143,0.0,9.1,46
367190630,0.004388298,0.022948986,0.0,0.2,752
367191170,4.358548,5.9458466,0.0,14.4,427
367191190,1.431621,2.4973073,0.0,8.3,1129
367191410,5.7857404,1.2543468,1.9,9.3,547
367191630,4.823791,5.961,0.0,13.5,517
367192060,4.0424604,6.256561,0.0,17.6,504
367192240,3.885714,2.280664,1.2,6.7,7
367192710,0.8283749,4.082046,0.0,24.1,1163
367192940,0.027777778,0.04608886,0.0,0.1,18
367192970,7.764151,10.416359,0.0,25.8,477
367193150,0.0038674036,0.026556043,0.0,0.3,362
367193790,0.43056768,1.394804,0.0,6.6,687
367194000,0.7304054,1.4445138,0.0,4.2,148
367194110,3.312987,2.7061992,0.6,9.6,77
367194680,3.1755102,1.1518651,0.1,5.3,147
367195440,8.859649,7.4300756,0.0,18.6,57
367196000,3.7446768,6.6946745,0.0,21.8,526
367196660,6.852,2.865749,0.0,12.7,125
367197230,0.0007009346,0.0083525535,0.0,0.1,428
367197410,0.0050000004,0.021978417,0.0,0.1,60
367198880,0.66758347,1.4000528,0.0,11.3,509
367198950,2.6943562,3.292435,0.0,10.6,1134
367199000,1.4279069,2.0843322,0.0,5.7,43
367199090,0.0,0.0,0.0,0.0,376
367199750,0.0015384615,0.016582498,0.0,0.3,650
367199860,0.0014479639,0.01195111,0.0,0.1,1105
367211000,0.0,0.0,0.0,0.0,423
367214000,0.0,0.0,0.0,0.0,406
367221000,0.0,0.0,0.0,0.0,366
367222000,0.0,0.0,0.0,0.0,416
367240000,0.0881295,0.03345281,0.0,0.2,1112
367255000,0.029411765,0.04696682,0.0,0.1,17
367263000,7.578685,4.5267286,0.0,16.2,441
367265000,0.0002770083,0.005263158,0.0,0.1,361
367267000,0.000536193,0.0073126717,0.0,0.1,373
367276000,0.009929079,0.030721879,0.0,0.2,423
367288000,0.045454547,0.068755165,0.0,0.2,11
367289000,0.0008174387,0.009008295,0.0,0.1,1101
367290000,0.0016129033,0.012631178,0.0,0.1,186
367292000,8.7260036e-05,0.002953981,0.0,0.1,1146
367294000,0.0,0.0,0.0,0.0,180
367297000,0.0002624672,0.005123155,0.0,0.1,381
367299000,9.843804,2.7140822,0.0,14.5,573
367299170,0.0,0.0,0.0,0.0,1157
367299350,0.0,0.0,0.0,0.0,247
367299580,1.1717813,4.6229,0.0,22.1,1134
367299720,0.001635514,0.0126985535,0.0,0.1,428
367299860,0.014159293,0.034914747,0.0,0.1,339
367300080,0.120973445,0.9776479,0.0,19.2,1130
367300090,4.531765,6.072495,0.0,19.0,170
367300160,3.7260578,4.485751,0.0,11.8,591
367300350,1.752931,3.205925,0.0,10.1,1160
367300490,0.00052910054,0.0072739297,0.0,0.1,189
367300850,5.614754,2.554593,0.7,9.1,61
367300910,2.8678126,1.7075881,0.1,10.0,320
367300990,0.009302326,0.07334743,0.0,0.8,301
367301010,0.091088265,0.45792744,0.0,4.7,1167
