MMSI,dark_events,last_position
367320510,1,2022-03-31 12:29:42+00:00
367320710,1,2022-03-31 12:31:26+00:00
367320740,1,2022-03-31 12:08:46+00:00
367320750,1,2022-03-31 12:08:48+00:00
367320890,1,2022-03-31 12:08:43+00:00
367321010,1,2022-03-31 12:29:29+00:00
367321040,1,2022-03-31 12:08:42+00:00
367321070,1,2022-03-31 12:08:46+00:00
367321280,1,2022-03-31 08:42:29+00:00
367321330,1,2022-03-31 12:09:12+00:00
367327630,1,2022-03-31 12:08:39+00:00
367327970,1,2022-03-31 12:08:42+00:00
367328020,1,2022-03-31 12:08:44+00:00
367331150,1,2022-03-31 12:08:49+00:00
367333720,1,2022-03-31 08:30:51+00:00
367333740,1,2022-03-31 12:08:48+00:00
367333780,1,2022-03-31 12:08:39+00:00
367333880,1,2022-03-31 12:08:42+00:00
367333940,1,2022-03-31 12:08:45+00:00
367334660,1,2022-03-31 20:39:17+00:00
367334810,1,2022-03-31 12:08:44+00:00
367335230,1,2022-03-31 15:03:11+00:00
367335590,1,2022-03-31 12:10:58+00:00
367336380,1,2022-03-31 16:48:59+00:00
367339240,1,2022-03-31 12:10:44+00:00
367342210,1,2022-03-31 12:09:28+00:00
367343490,1,2022-03-31 12:10:50+00:00
367343510,1,2022-03-31 12:14:28+00:00
367343530,1,2022-03-31 12:08:41+00:00
367345720,1,2022-03-31 19:35:23+00:00
367350460,1,2022-03-31 18:10:26+00:00
367358330,1,2022-03-31 12:08:46+00:00
367359070,1,2022-03-31 21:21:58+00:00
367359940,1,2022-03-31 22:42:52+00:00
367360430,1,2022-03-31 13:29:16+00:00
367361740,1,2022-03-31 12:10:46+00:00
367361870,1,2022-03-31 11:39:06+00:00
367367840,1,2022-03-31 20:35:57+00:00
367371170,1,2022-03-31 19:43:20+00:00
367371410,1,2022-03-31 12:08:41+00:00
367371510,1,2022-03-31 12:08:41+00:00
367373640,1,2022-03-31 12:08:47+00:00
367374590,1,2022-03-31 12:10:01+00:00
367375070,1,2022-03-31 12:08:50+00:00
367376020,1,2022-03-31 14:21:29+00:00
367377890,1,2022-03-31 10:48:26+00:00
367378280,2,2022-03-31 20:42:45+00:00
367379890,1,2022-03-31 16:45:06+00:00
367380840,1,2022-03-31 12:08:43+00:00
367385950,1,2022-03-31 12:08:39+00:00
367387070,2,2022-03-31 22:44:28+00:00
367387350,1,2022-03-31 14:30:05+00:00
367390880,1,2022-03-31 12:24:47+00:00
367393270,1,2022-03-31 23:09:01+00:00
367396110,2,2022-03-31 17:03:25+00:00
367396770,1,2022-03-31 12:08:45+00:00
367397760,1,2022-03-31 08:48:15+00:00
367398340,1,2022-03-31 12:08:41+00:00
